ID|Title|text|description|number|numbertext|picture|pollID|poll|questionID|question
ИД|Текст варианта ответа|Пояснение к варианту ответа|Номер варианта ответа|numbertext|Картинка|Опрос:ИД|Опрос|Вопрос:BL|Вопрос
30||Очень высокий||1|string|1. Очень высокий||12| Информационная открытость деятельности администрации города|18|1. Оцените уровень своей информированности о деятельности администрации города?​​​
31||Высокий||2|string|2. Высокий||12| Информационная открытость деятельности администрации города|18|1. Оцените уровень своей информированности о деятельности администрации города?​​​
32||Средний||3|string|3. Средний||12| Информационная открытость деятельности администрации города|18|1. Оцените уровень своей информированности о деятельности администрации города?​​​
33||Низкий||4|string|4. Низкий||12| Информационная открытость деятельности администрации города|18|1. Оцените уровень своей информированности о деятельности администрации города?​​​
34||Очень низкий||5|string|5. Очень низкий||12| Информационная открытость деятельности администрации города|18|1. Оцените уровень своей информированности о деятельности администрации города?​​​
35||Затрудняюсь ответить||6|string|6. Затрудняюсь ответить||12| Информационная открытость деятельности администрации города|18|1. Оцените уровень своей информированности о деятельности администрации города?​​​
36||Да, вполне достаточно||1|string|1. Да, вполне достаточно||12| Информационная открытость деятельности администрации города|19|2. Достаточно ли вам информации о деятельности администрации города, которая размещена на официальном сайте администрации города?
37||Достаточно, но хотелось бы знать больше||2|string|2. Достаточно, но хотелось бы знать больше||12| Информационная открытость деятельности администрации города|19|2. Достаточно ли вам информации о деятельности администрации города, которая размещена на официальном сайте администрации города?
38||Да||1|string|1. Да||12| Информационная открытость деятельности администрации города|20|3.  Вы считаете информацию, размещенную на официальном сайте администрации города объективной?
39||Скорее, да||2|string|2. Скорее, да||12| Информационная открытость деятельности администрации города|20|3.  Вы считаете информацию, размещенную на официальном сайте администрации города объективной?
40||Да||1|string|1. Да||12| Информационная открытость деятельности администрации города|21|4. Информация о деятельности муниципальной власти достоверная и полная?
41||Скорее, да||2|string|2. Скорее, да||12| Информационная открытость деятельности администрации города|21|4. Информация о деятельности муниципальной власти достоверная и полная?
42||1-2 раза в год||1|string|1. 1-2 раза в год||12| Информационная открытость деятельности администрации города|22|5. ​Как часто вы обращаетесь в структурные подразделения администрации города за информацией?​
43||1-2 раза в квартал||2|string|2. 1-2 раза в квартал||12| Информационная открытость деятельности администрации города|22|5. ​Как часто вы обращаетесь в структурные подразделения администрации города за информацией?​
44||Переписка (через письма по почте)||1|string|1. Переписка (через письма по почте)||12| Информационная открытость деятельности администрации города|23|6. Какая форма обращения в администрацию города Вам предпочтительнее?
45||Лично||2|string|2. Лично||12| Информационная открытость деятельности администрации города|23|6. Какая форма обращения в администрацию города Вам предпочтительнее?
46||Недостаточно||3|string|3. Недостаточно||12| Информационная открытость деятельности администрации города|19|2. Достаточно ли вам информации о деятельности администрации города, которая размещена на официальном сайте администрации города?
47||Затрудняюсь ответить||4|string|4. Затрудняюсь ответить||12| Информационная открытость деятельности администрации города|19|2. Достаточно ли вам информации о деятельности администрации города, которая размещена на официальном сайте администрации города?
48||Скорее, нет||3|string|3. Скорее, нет||12| Информационная открытость деятельности администрации города|20|3.  Вы считаете информацию, размещенную на официальном сайте администрации города объективной?
49||Нет||4|string|4. Нет||12| Информационная открытость деятельности администрации города|20|3.  Вы считаете информацию, размещенную на официальном сайте администрации города объективной?
50||Затрудняюсь ответить||5|string|5. Затрудняюсь ответить||12| Информационная открытость деятельности администрации города|20|3.  Вы считаете информацию, размещенную на официальном сайте администрации города объективной?
51||Скорее, нет||3|string|3. Скорее, нет||12| Информационная открытость деятельности администрации города|21|4. Информация о деятельности муниципальной власти достоверная и полная?
52||Нет||4|string|4. Нет||12| Информационная открытость деятельности администрации города|21|4. Информация о деятельности муниципальной власти достоверная и полная?
53||Затрудняюсь ответить||5|string|5. Затрудняюсь ответить||12| Информационная открытость деятельности администрации города|21|4. Информация о деятельности муниципальной власти достоверная и полная?
54||1-2 раза в месяц||3|string|3. 1-2 раза в месяц||12| Информационная открытость деятельности администрации города|22|5. ​Как часто вы обращаетесь в структурные подразделения администрации города за информацией?​
55||1-2 раза за несколько лет||4|string|4. 1-2 раза за несколько лет||12| Информационная открытость деятельности администрации города|22|5. ​Как часто вы обращаетесь в структурные подразделения администрации города за информацией?​
56||Не обращаюсь никогда||5|string|5. Не обращаюсь никогда||12| Информационная открытость деятельности администрации города|22|5. ​Как часто вы обращаетесь в структурные подразделения администрации города за информацией?​
57||Затрудняюсь ответить||6|string|6. Затрудняюсь ответить||12| Информационная открытость деятельности администрации города|22|5. ​Как часто вы обращаетесь в структурные подразделения администрации города за информацией?​
58||По телефону||3|string|3. По телефону||12| Информационная открытость деятельности администрации города|23|6. Какая форма обращения в администрацию города Вам предпочтительнее?
59||Через виртуальную приемную на сайте||4|string|4. Через виртуальную приемную на сайте||12| Информационная открытость деятельности администрации города|23|6. Какая форма обращения в администрацию города Вам предпочтительнее?
60||По электронной почте||5|string|5. По электронной почте||12| Информационная открытость деятельности администрации города|23|6. Какая форма обращения в администрацию города Вам предпочтительнее?
61||Затрудняюсь ответить||6|string|6. Затрудняюсь ответить||12| Информационная открытость деятельности администрации города|23|6. Какая форма обращения в администрацию города Вам предпочтительнее?
62||Сквер «Серебряный», ул. Высотная, 15||1|string|1. Сквер «Серебряный», ул. Высотная, 15||13|Выбор объекта благоустройства|24|1. Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?
63||Сквер «Космонавтов», между ул. Терешковой и ул. Николаева ||2|string|2. Сквер «Космонавтов», между ул. Терешковой и ул. Николаева ||13|Выбор объекта благоустройства|24|1. Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?
64||Сквер по ул. Юности, 22–24 ||3|string|3. Сквер по ул. Юности, 22–24 ||13|Выбор объекта благоустройства|24|1. Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?
65||Парк «Кировский», ул. Кутузова, 91–91 б ||4|string|4. Парк «Кировский», ул. Кутузова, 91–91 б ||13|Выбор объекта благоустройства|24|1. Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?
66||Сквер у Красноярского цирка, пр. им. газеты «Красноярский рабочий», 153 ||5|string|5. Сквер у Красноярского цирка, пр. им. газеты «Красноярский рабочий», 153 ||13|Выбор объекта благоустройства|24|1. Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?
67||Сквер «Универсиады», ул. Свердловская, 101–109 ||6|string|6. Сквер «Универсиады», ул. Свердловская, 101–109 ||13|Выбор объекта благоустройства|24|1. Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?
68||Сквер по ул. 9 Мая от ул. Авиаторов до ул. Урванцева||7|string|7. Сквер по ул. 9 Мая от ул. Авиаторов до ул. Урванцева||13|Выбор объекта благоустройства|24|1. Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?
